URL,Article,Category,Primary Keyword,Secondary Keywords,Cluster,Status,Total Target SV,GSC Impressions,GSC Clicks,GSC CTR,Avg Position,Opportunity Score,Priority,Notes
https://www.footballparent.co.uk/,,,,,,,,,,,,,,
https://www.footballparent.co.uk/about,,,,,,,,,,,,,,
https://www.footballparent.co.uk/academy-pathway,,,,,,,,,,,,,,
https://www.footballparent.co.uk/academy-pathway/academy-categories-explained,"Category 1, 2, 3 and 4 Football Academies Explained",academy-pathway,"Category 1, 2, 3 and 4 Football Academies",,,,,,,,,,,"Phase 5C: reviewed, already adequately sourced (2 citations: EPPP overview + Premier League Parent Hub graduation-rate data). Voice deferred - son was in a development centre, not registered academy, so no personal fit for category-specific content."
https://www.footballparent.co.uk/academy-pathway/arsenal-development-centre-guide,Arsenal FC Development Centre: A Parent's Guide,academy-pathway,Arsenal FC Development Centre,,,,,,,,,,,Phase 5C: expanded existing club-agnostic ParentNote (was 1 sentence) to fuller version per Graham's request
https://www.footballparent.co.uk/academy-pathway/aston-villa-development-centre-guide,Aston Villa Development Centre: A Parent's Guide,Academy Pathway,Aston Villa academy trials,Aston Villa development centre; Aston Villa youth academy,Aston Villa Development Centre,planned,280,,,,,,High,"Club dev-centre opportunity scan 2026-08-11: real UK search volume + SERP/PAA intent check + KD, see chat log. Premier League."
https://www.footballparent.co.uk/academy-pathway/brentford-development-centre-guide,Brentford Development Centre: A Parent's Guide,Academy Pathway,Brentford academy trials,Brentford youth academy; Brentford development centre,Brentford Development Centre,planned,330,,,,,,High,"2026-08-22: applied all 4 review fixes (re-pointed fastest-since-2012 citation to striver.football, sourced the 2016 Phil Giles quote to sqaf.club, removed duplicate brentfordfccst.com link, swapped Related Articles duplicate). Added pillar link to/from premier-league-development-centres-list (also fixed its stale Brentford entry). Added 3 more inbound links from academy-categories-explained, development-centres-vs-academies, what-is-eppp. Build passes."
https://www.footballparent.co.uk/academy-pathway/can-academy-players-play-grassroots-football,Can Academy Players Play Grassroots Football?,academy-pathway,Can Academy Players Play Grassroots Football,,,,,,,,,,,"Phase 5C: added citation for direct Youth Development Rules quote (previously unlinked). Voice deferred, no personal fit."
https://www.footballparent.co.uk/academy-pathway/charlton-athletic-development-centre-guide,Charlton Athletic Development Centre: A Parent's Guide,Academy Pathway,Charlton Athletic academy trials,Charlton Athletic youth academy; Charlton Athletic development centre,Charlton Athletic Development Centre,planned,170,,,,,,High,"Club dev-centre opportunity scan 2026-08-11: real UK search volume + SERP/PAA intent check + KD, see chat log. Championship."
https://www.footballparent.co.uk/academy-pathway/chelsea-fc-development-centre-guide,Chelsea FC Development Centre: A Parent's Guide,academy-pathway,Chelsea FC Development Centre,,,,,,,,,,,"Phase 5B: formalised Graham's existing unmarked PTC/PDC/PPC progression story into a proper ParentNote (avoided duplicating the open-trial-tiers note used elsewhere), plus EPPP and compensation-rules citations. voice_pct 5.2%."
https://www.footballparent.co.uk/academy-pathway/coventry-city-development-centre-guide,Coventry City Development Centre: A Parent's Guide,Academy Pathway,Coventry City academy trials,Coventry City development centre; Coventry City youth academy,Coventry City Development Centre,planned,160,,,,,,High,"Club dev-centre opportunity scan 2026-08-11: real UK search volume + SERP/PAA intent check + KD, see chat log. Premier League."
https://www.footballparent.co.uk/academy-pathway/crystal-palace-development-centre-guide,Crystal Palace Development Centre Guide for Parents,academy-pathway,Crystal Palace Development Centre,,,,,,,,,,,Phase 5C: added trimmed open-trial-tiers ParentNote (3rd/final use) plus new Tier 1 workbook ParentNote
https://www.footballparent.co.uk/academy-pathway/development-centres-vs-academies,Development Centres vs Academies: What's the Difference?,academy-pathway,Development Centres vs Academies,,,,,,,,,,,2026-08-08: added a genuine Parent Note from Graham's direct answer (Chelsea's rotating group vs Palace's settled group) alongside the existing confirmed-but-unmarked anecdote left as prose.
https://www.footballparent.co.uk/academy-pathway/football-development-centres-in-london,Football Development Centres in London: A Parent's Guide,academy-pathway,Football Development Centres in London,,,,,,,,,,,
https://www.footballparent.co.uk/academy-pathway/football-development-centres-near-me,Football Development Centres Near Me,academy-pathway,Football Development Centres Near Me,,,,,,,,,,,"2026-08-08 voice review: candidates checked, mix of FAQ-heading-merge artifacts and editorial cross-references ('I cover this in [link]') - no genuine voice found, nothing to promote."
https://www.footballparent.co.uk/academy-pathway/football-scholarships-uk,Football Scholarships UK: What Parents Need to Know,academy-pathway,Football Scholarships UK,,,,,,,,,,,"Phase 5C: reviewed, already adequately sourced (3 external citations). Voice deferred, no personal fit at scholarship age (16-18)."
https://www.footballparent.co.uk/academy-pathway/fulham-fc-development-centre-guide,Fulham FC Development Centre: A Parent's Guide,academy-pathway,fulham development centre,fulham player pathway; fulham foundation football; how to join fulham academy; fulham academy trials; fulham pre academy,London club development centres,planned,250,,,,,,,"football-parent-review audit run 2026-08-09 (separate from the writing-time checks). No factual errors found. Flagged: primary citation (fulhamfc.com/foundation/what-we-do/player-pathways/) loads but shows no content on direct fetch (JS-rendered) - facts still corroborated via independent search, Medium-High confidence, not High. No Fulham-specific trial-scam warning exists to cite (checked - this is a real gap vs Tottenham's article, but genuinely industry-wide, not Fulham-specific, so nothing added rather than inventing one). Quality 7/10, Risk 3/10. Callout minimum met (1 real + 1 pending)."
https://www.footballparent.co.uk/academy-pathway/how-academy-football-works,How Academy Football Works in the UK,academy-pathway,How Academy Football Works in the UK,,,,,,,,,,,
https://www.footballparent.co.uk/academy-pathway/how-much-does-academy-football-cost,How Much Does Academy Football Cost?,academy-pathway,How Much Does Academy Football Cost,,,,,,,,,,,"Phase 5A: 3 Parent Notes, 2 external citations (Premier League EPPP, Parent Hub). voice_pct 7.7%, left under the 10% floor deliberately. fact_checked_at backfilled 2026-08-08 from the commit date - the original Phase 5A mark call never set it (personal-story-count/expert-quote-count did land correctly, only this field was missed)."
https://www.footballparent.co.uk/academy-pathway/how-players-progress-through-football-development-centres,How Players Progress Through Football Development Centres,academy-pathway,How Players Progress Through Football Development Centres,,,,,,,,,,,"Phase 5B: reused Graham's Chelsea/Palace open-trial tiers ParentNote (2nd use, also in uk-football-development-centres-explained), plus Premier League parent-hub review-process citation. voice_pct 8.3%, close to floor."
https://www.footballparent.co.uk/academy-pathway/how-to-find-a-football-agent-for-your-child,How to Find a Football Agent for Your Child,academy-pathway,How to Find a Football Agent for Your Child,,,,,,,,,,,"Phase 5C: added citation for agent commission cap claim (previously uncited). Voice deferred, no personal fit."
https://www.footballparent.co.uk/academy-pathway/how-to-join-a-football-academy,How to Join a Football Academy: A Realistic Guide for Parents,academy-pathway,How to Join a Football Academy,,,,,,,,,,,"2026-08-08 voice review: candidates checked, mix of FAQ-heading-merge artifacts and editorial cross-references ('I cover this in [link]') - no genuine voice found, nothing to promote."
